AGS;Kommune;Kreis;Typ;Regierungsbezirk;Bevölkerung;Gemeindegrößenklasse;Partei;Zentralörtliche Einstufung;Beschluss NKNRW;Angebot;Einstiegszeitpunkt;Vorerfahrung;Teilnahme NKNRW;Projekthistorie id;Projekthistorie Name
5766044;Lemgo;Lippe;Stadt;Detmold;39905;Mittelstadt;;Mittelzentrum;;;;;0;1;"Global Nachhaltige Kommune (2021–2022); Prozesskette Nachhaltigkeit Phase I (2023–2024)"
5316000;Leverkusen;Leverkusen, Stadt;Kreisfreie Stadt;Köln;168581;Großstadt;;Mittelzentrum;;;;;0;1;"Global Nachhaltige Kommune (2019–2021); Prozesskette Nachhaltigkeit Phase 2 (2025–2026)"
5962032;Lüdenscheid;Märkischer Kreis;Stadt;Arnsberg;71212;Mittelstadt;;Mittelzentrum;;;;;0;1;"Global Nachhaltige Kommune (2019–2021); Global Nachhaltige Kommune (2021–2022); Transfer Nachhaltigkeit (2020–2021); Prozesskette Nachhaltigkeit Phase 2 (2025–2026)"
5958028;Medebach;Hochsauerlandkreis;Stadt;Arnsberg;7906;Kleine Kleinstadt;;Grundzentrum und niedriger;;;;;0;1;Prozesskette Nachhaltigkeit Phase 2 (2025–2026)
5158024;Mettmann;Mettmann;Stadt;Düsseldorf;39542;Mittelstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase 2 (2025–2026)
5170028;Neukirchen-Vluyn;Wesel;Stadt;Düsseldorf;27140;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2019–2021)
5162024;Neuss;Rhein-Kreis Neuss;Stadt;Düsseldorf;154317;Großstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase I (2023–2024)
5774032;Paderborn;Paderborn;Stadt;Detmold;156378;Großstadt;;Oberzentrum und höher;;;;;0;1;"Prozesskette Nachhaltigkeit Phase I (2023–2024); Prozesskette Nachhaltigkeit Phase 2 (2025–2026)"
5770032;Porta Westfalica;Minden-Lübbecke;Stadt;Detmold;36521;Mittelstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase I (2023–2024)
5562032;Recklinghausen;Recklinghausen;Stadt;Münster;115344;Großstadt;;Mittelzentrum;;;;;0;1;"Global Nachhaltige Kommune (2021–2022); Prozesskette Nachhaltigkeit Phase I (2023–2024); Prozesskette Nachhaltigkeit Phase 2 (2025–2026)"
